Filing Date,Company Filing Name,Borrower Name,CIK Number,Film Num,EJV ID,Date EJV ID was re-checked to the BLUES,Form Type,Exhibit,Title Name,"Agreement Type (O, A, A&R, Warrant or Waiver)",Signing Date,Previous Date being Amended,Amendment number,"Loan $$ Amount (only needed for O, A/R)",Lead Arranger/Bookrunner,Does Loan Exist in Loan Connector,Loan Connector Deal ID,Does Borrower Exist in Loan Connector?,Does Filing Entity exist in Loan Connector?,Loan Doc #,Date document was captured from SEC,Date doc was uploaded to Loan Connector,Filing URL,SEC.gov URL,Analyst who recorded the document,Analyst who uploaded the document to Loan Connector,Date the filing was reviewed in Loan Connector for company presence,PixelEdge Comment,Refinitiv Comment
Documents to be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2023,Amyris Inc,,1365916,231290614,,,8-K,EX-10.1,Amendment No 2 To Senior Secured Super Priority Debtor In Possession Loan Agreement,Amendment,9/27/2023,8/9/2023,2,,Euagore Llc,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1365916/000136591623000119/0001365916-23-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591623000119/ax20230928xex101xdipcredit.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Catalent Inc,,1596783,231286106,,,8-K,EX-10.1,Amendment No 9 To Amended And Restated Credit Agreement,Amendment,9/27/2023,5/20/2014,9,,JPMorgan Chase Bank,No,,Yes,No,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1596783/000119312523244686/0001193125-23-244686-index.htm,https://www.sec.gov/Archives/edgar/data/1596783/000119312523244686/d559301dex101.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Chuy's Holdings Inc,,1524931,231289415,,,8-K,EX-10.1,Amended And Restated Credit Agreement,A&R,9/27/2023,7/30/2021,,$25.00 ,JPMorgan Chase Bank,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1524931/000152493123000074/0001524931-23-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493123000074/ex101-amendedandrestatedcr.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Fuller H B Co,,39368,231289069,0x0010390107430941,10/2/2023,10-Q,EX-10.1,Amendment No 1 To Second Amended And Restated Credit Agreement,Amendment,8/16/2023,2/15/2023,1,,JPMorgan Chase Bank,Yes,302270,Yes,No,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/39368/000143774923027018/0001437749-23-027018-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774923027018/ex_571016.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,J M Smucker Co,,91419,231285768,0x00103942a6680988,10/2/2023,8-K,EX-10.1,Term Loan Credit Agreement,Origination,9/27/2023,,,$800.00 ,Bank of America,Yes,311585,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/91419/000119312523244125/0001193125-23-244125-index.htm,https://www.sec.gov/Archives/edgar/data/91419/000119312523244125/d532147dex101.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Knowles Corp,,1587523,231285575,,,8-K,EX-10.1,Amendment No 1 To Amended And Restated Credit Agreement,Amendment,9/25/2023,2/8/2023,1,,JPMorgan Chase Bank,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1587523/000158752323000077/0001587523-23-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1587523/000158752323000077/exhibit101tokn8k092723.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Morgan Stanley Direct Lending Fund,,1782524,231289989,,,8-K,EX-10.01,Third Amendment To The Revolving Credit And Security Agreement,Amendment,9/22/2023,10/14/2020,3,,BNP Paribas,No,,No,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1782524/000178252423000030/0001782524-23-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1782524/000178252423000030/thirdamendmenttodlfrevolvi.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Ncr Atleos LLC,,1974138,231285852,0x001039ba8d6d095e,10/2/2023,8-K,EX-10.1,Credit Agreement,Origination,9/27/2023,,,"$2,085.00 ",Bank of America,Yes,312174,No,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1974138/000119312523244175/0001193125-23-244175-index.htm,https://www.sec.gov/Archives/edgar/data/1974138/000119312523244175/d478950dex101.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Ncr Corp,,70866,231285850,,,8-K,EX-10.1,Credit Agreement,Origination,9/27/2023,,,"$2,085.00 ",Bank of America,No,,No,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/70866/000119312523244174/0001193125-23-244174-index.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312523244174/d555514dex101.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Viper Energy Partners LP,,1602065,231289432,,,8-K,EX-10.1,Eleventh Amendment To Amended And Restated Senior Secured Revolving Credit Agreement,Amendment,9/22/2023,7/20/2018,11,,Wells Fargo Bank,No,,No,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1602065/000160206523000059/0001602065-23-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1602065/000160206523000059/viperex101-9x28x23.htm,Sonia Bai,Sonia Bai,10/2/2023,,
9/28/2023,Viper Energy Partners LP,,1602065,231289432,,,8-K,EX-10.2,Twelfth Amendment To Amended And Restated Senior Secured Revolving Credit Agreement,Amendment,9/22/2023,7/20/2018,12,,Wells Fargo Bank,No,,No,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1602065/000160206523000059/0001602065-23-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1602065/000160206523000059/viperex102-9x28x23.htm,Sonia Bai,Sonia Bai,10/2/2023,,
9/28/2023,Worthington Industries Inc,,108516,231290152,,,8-K,EX-4.1,Fourth Amended And Restated Credit Agreement,A&R,9/27/2023,8/20/2021,,$500.00 ,PNC Bank,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/108516/000095017023050472/0000950170-23-050472-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000095017023050472/wor-ex4_1.htm,Sonia Bai,Sonia Bai,10/2/2023,,
9/28/2023,Iron Bridge Mortgage Fund LLC,,1462371,231285865,,,1-SA,EX1SA-6 MAT CTRCT.5,Fourth Amendment To Loan Documents,Amendment,2/16/2023,5/7/2021,4,,Umpqua Bank,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1462371/000147793223007143/0001477932-23-007143-index.htm,https://www.sec.gov/Archives/edgar/data/1462371/000147793223007143/iron_ex65.htm,Sonia Bai,Sonia Bai,10/2/2023,,
9/28/2023,Iron Bridge Mortgage Fund LLC,,1462371,231285865,,,1-SA,EX1SA-6 MAT CTRCT.6,Fifth Amendment To Loan Documents And Waiver,Amendment,6/29/2023,5/7/2021,5,,Umpqua Bank,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1462371/000147793223007143/0001477932-23-007143-index.htm,https://www.sec.gov/Archives/edgar/data/1462371/000147793223007143/iron_ex66.htm,Sonia Bai,Sonia Bai,10/2/2023,,
9/28/2023,Stifel Financial Corp,,720672,231289857,,,8-K,EX-10.1,Credit Agreement,Origination,9/27/2023,,,$750.00 ,Bank of America,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/720672/000119312523245647/0001193125-23-245647-index.htm,https://www.sec.gov/Archives/edgar/data/720672/000119312523245647/d555530dex101.htm,Sonia Bai,Sonia Bai,10/2/2023,,
Borrowers/Company Filing do not exist in Loan Connector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2023,Blue Owl Technology Finance Corp Ii,,1889668,231290187,,,8-K,EX-10.1,Fourth Amendment To Credit Agreement,Amendment,9/26/2023,7/15/2022,4,,Societe Generale,No,,No,No,,10/2/2023,,https://www.sec.gov/Archives/edgar/data/1889668/000119312523245691/0001193125-23-245691-index.htm,https://www.sec.gov/Archives/edgar/data/1889668/000119312523245691/d655952dex101.htm,Khizer Shahid,,10/2/2023,,
9/28/2023,City National Rochdale Strategic Credit Fund,,1737936,231290940,,,486BPOS,EX-99.25,Third Amendment To Loan Agreement,Amendment,6/8/2023,6/11/2020,3,,US Bank,No,,No,No,,10/2/2023,,https://www.sec.gov/Archives/edgar/data/1737936/000139834423018567/0001398344-23-018567-index.htm,https://www.sec.gov/Archives/edgar/data/1737936/000139834423018567/fp0085122-1_ex9925k6iii.htm,Khizer Shahid,,10/2/2023,,
9/28/2023,First Eagle Private Credit Fund,,1890107,231290946,,,8-K,EX-10.1,Loan And Servicing Agreement,Origination,9/22/2023,,,$350.00 ,Morgan Stanley Senior Funding Inc,No,,No,No,,10/2/2023,,https://www.sec.gov/Archives/edgar/data/1890107/000119312523245813/0001193125-23-245813-index.htm,https://www.sec.gov/Archives/edgar/data/1890107/000119312523245813/d419730dex101.htm,Khizer Shahid,,10/2/2023,,
Less than 25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2023,American Battery Technology Co,,1576873,231285901,,,10-K,EX-10.10,Credit Agreement,Origination,5/17/2023,,,$20.00 ,Mercuria Investments Us Inc,No,,No,No,,10/2/2023,,https://www.sec.gov/Archives/edgar/data/1576873/000149315223034467/0001493152-23-034467-index.htm,https://www.sec.gov/Archives/edgar/data/1576873/000149315223034467/ex10-10.htm,Khizer Shahid,,10/2/2023,,
9/28/2023,Victorybase Corp,,1836735,231288228,,,1-SA,EX1SA-6 MAT CTRCT,Multifamily Loan And Security Agreement,Origination,6/2/2023,,,$9.36 ,Walker & Dunlop LLC,No,,No,No,,10/2/2023,,https://www.sec.gov/Archives/edgar/data/1836735/000152013823000413/0001520138-23-000413-index.htm,https://www.sec.gov/Archives/edgar/data/1836735/000152013823000413/vrbo-20230630_1saex6z13.htm,Sonia Bai,,10/2/2023,,
